abv,name,style,brewery_id,ounces
0.054,River Pig Pale Ale,American Pale Ale (APA),542,16
0.047,Oaky's Oatmeal Stout,Oatmeal Stout,542,16
0.05,Angry Orchard Apple Ginger,Cider,434,16
0.05,Angry Orchard Crisp Apple,Cider,434,16
0.05,Angry Orchard Crisp Apple,Cider,434,12
0.068,Golden One,Belgian Pale Ale,193,12
0.06,Arjuna,Witbier,193,12
0.085,Uroboros,American Stout,193,12
0.071,Long Leaf,American IPA,69,16
0.047,Honey Badger Blonde,American Blonde Ale,69,16
0.06,Porter (a/k/a Black Gold Porter),American Porter,69,16
0.06,Sky High Rye,American Pale Ale (APA),541,12
0.062,Whitsun,American Pale Wheat Ale,541,12
0.052,On-On Ale (2008),American Pale Ale (APA),513,12
0.092,Quakertown Stout,American Double / Imperial Stout,426,12
0.051,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426,12
0.052,Mo's Gose,Gose,461,16
0.07,Green Bullet Organic India Pale Ale,American IPA,429,16
0.032,Rocket Girl,Kölsch,528,12
0.053,Ninja Porter,American Porter,528,12
0.06,Shiva IPA,American IPA,528,12
0.048,Aslan Kölsch,Kölsch,353,16
0.077,Aslan IPA,American IPA,353,16
0.077,Aslan Amber,American Amber / Red Ale,353,16
0.056,This Season's Blonde,American Blonde Ale,523,12
0.07,Independence Pass Ale,American IPA,523,12
0.057,Trolley Stop Stout,American Stout,374,12
0.082,Bitter Bitch Imperial IPA,American Double / Imperial IPA,374,12
0.062,Poop Deck Porter,American Porter,374,12
0.06,Old Red Beard Amber Ale,American Amber / Red Ale,374,12
0.075,Hop A-Peel,American Double / Imperial IPA,72,16
0.055,Vanilla Java Porter,American Porter,72,16
0.052,Michelada,Fruit / Vegetable Beer,72,16
0.045,Dirty Blonde Ale,American Blonde Ale,72,12
0.05,Grand Circus IPA,American IPA,72,12
0.05,Atwater's Lager,Munich Helles Lager,72,12
0.07,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,413,16
0.062,Fire Eagle IPA,American IPA,413,12
0.051,Peacemaker,American Pale Ale (APA),413,12
0.053,Pearl-Snap,German Pilsener,413,12
0.052,Black Thunder,Schwarzbier,413,12
0.08,Raja,American Double / Imperial IPA,37,12
0.064,Perzik Saison,Saison / Farmhouse Ale,37,12
0.047,Avery Joe’s Premium American Pilsner,German Pilsener,37,12
0.056,White Rascal,Witbier,37,12
0.063,Avery India Pale Ale,American IPA,37,12
0.055,Ellie’s Brown Ale,American Brown Ale,37,12
0.062,Pumpkin Beast,Pumpkin Ale,360,12
0.072,OktoberBeast,Märzen / Oktoberfest,360,12
0.048,Mad Beach,American Pale Wheat Ale,360,12
0.067,Hog Wild India Pale Ale,American IPA,360,12
0.092,Devils Tramping Ground Tripel,Tripel,360,12
0.061,Hot Rod Red,American Amber / Red Ale,360,12
0.086,Palate Mallet,American Double / Imperial IPA,235,12
0.06,Back East Porter,American Porter,235,12
0.049,Back East Golden Ale,American Blonde Ale,235,12
0.07,Misty Mountain IPA,American IPA,235,12
0.05,Back East Ale,American Amber / Red Ale,235,12
0.06,Truck Stop Honey Brown Ale,English Brown Ale,286,12
0.06,Naked Pig Pale Ale,American Pale Ale (APA),286,12
0.068,Topcutter India Pale Ale,American IPA,483,12
0.044,Field 41 Pale Ale,American Pale Ale (APA),483,12
0.07,Grapefruit Sculpin,American IPA,34,12
0.038,Even Keel,American IPA,34,12
0.052,Ballast Point Pale Ale,Kölsch,34,12
0.07,Big Eye India Pale Ale,American IPA,34,12
0.046,Longfin Lager,Munich Helles Lager,34,12
0.07,Sculpin IPA,American IPA,34,12
0.045,All Nighter Ale,Extra Special / Strong Bitter (ESB),318,12
0.045,Banner American Rye,Rye Beer,318,12
0.035,Banner American Ale,American Amber / Red Ale,318,12
0.07,Thai.p.a,American IPA,20,16
0.06,Barrio Blanco,American IPA,251,12
0.045,Barrio Tucson Blonde,American Blonde Ale,251,12
0.049,Hop in the ‘Pool Helles,American Pilsner,116,12
0.067,Ultra Gnar Gnar IPA,American IPA,116,12
0.068,In-Tents India Pale Lager,American Pale Lager,116,12
0.05,Lost Meridian Wit,Witbier,116,12
0.051,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,116,12
0.054,Wagon Party,California Common / Steam Beer,258,12
0.067,Sky-Five,American IPA,258,12
0.05,Stargrazer,Schwarzbier,258,12
0.054,Wonderstuff,German Pilsener,258,12
0.053,Tarnation California-Style Lager,California Common / Steam Beer,292,12
0.07,On the Count of 3 (2015),Hefeweizen,292,16
0.047,Summer Swelter,American Pale Wheat Ale,292,12
0.068,Phantom Punch Winter Stout,Foreign / Export Stout,292,12
0.066,Hayride Autumn Ale,Rye Beer,292,12
0.047,Celsius Summer Ale (2012),American Pale Wheat Ale,292,12
0.055,Amber Road,American Amber / Red Ale,292,12
0.049,Pamola Xtra Pale Ale,American Pale Ale (APA),292,12
0.069,Stowaway IPA,American IPA,292,12
0.088,Hoptopus Double IPA,American Double / Imperial IPA,306,16
0.05,Watermelon Ale,Fruit / Vegetable Beer,103,12
0.058,Fenway American Pale Ale,American Pale Ale (APA),103,12
0.068,Back Bay IPA,American IPA,103,12
